region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Teresina,53606,0,146786000,0,53794,0,895,New confirmed cases by infection date,Unsure
Itaboraí,11358,0,1498850000,0,11386,0,67,New confirmed cases by infection date,Unsure
Rio de Janeiro,6132,0,626413,0,6166,0,654,New confirmed cases by infection date,Likely increasing
Nova Lima,3464,0,40929300,0,3473,0,53,New confirmed cases by infection date,Unsure
Belém,2650,0,969758,0,2653,0,152,New confirmed cases by infection date,Unsure
Brasília,2076,0,21986,0,2078,0,566,New confirmed cases by infection date,Unsure
Porto Alegre,1331,556,2330,925,1543,1090,1293,New confirmed cases by infection date,Increasing
Goiânia,1238,0,13415,0,1239,241,610,New confirmed cases by infection date,Unsure
Campinas,943,0,151082,0,945,0,71,New confirmed cases by infection date,Unsure
São Paulo,889,344,1567,618,1058,715,868,New confirmed cases by infection date,Decreasing
Santana do Araguaia,700,0,1879510,0,700,0,15,New confirmed cases by infection date,Unsure
Belo Horizonte,605,0,6896,0,606,0,144,New confirmed cases by infection date,Unsure
Niterói,533,0,1666,99,586,200,368,New confirmed cases by infection date,Increasing
Aparecida de Goiânia,467,0,1741,319,516,399,464,New confirmed cases by infection date,Likely increasing
Uberlândia,467,0,2800,76,494,104,243,New confirmed cases by infection date,Likely increasing
São José dos Campos,458,0,10783,0,459,0,78,New confirmed cases by infection date,Unsure
Campo Grande,451,126,836,298,543,372,463,New confirmed cases by infection date,Unsure
Joinville,428,157,795,287,491,369,440,New confirmed cases by infection date,Likely increasing
Anápolis,414,203,677,316,482,347,410,New confirmed cases by infection date,Increasing
Trindade,353,0,67518,0,353,0,23,New confirmed cases by infection date,Unsure
Manaus,335,208,494,280,377,293,326,New confirmed cases by infection date,Likely increasing
Parauapebas,319,47,1071,102,354,151,232,New confirmed cases by infection date,Likely increasing
Curitiba,313,1,1260,28,335,74,174,New confirmed cases by infection date,Unsure
Igrejinha,289,0,159597,0,290,0,10,New confirmed cases by infection date,Unsure
Belford Roxo,284,0,836,46,326,93,188,New confirmed cases by infection date,Likely increasing
Salvador,271,92,506,201,329,234,278,New confirmed cases by infection date,Likely decreasing
Palmas,240,0,2792,0,241,0,60,New confirmed cases by infection date,Unsure
Mineiros,233,0,52818,0,233,0,17,New confirmed cases by infection date,Unsure
Londrina,227,5,790,72,250,124,190,New confirmed cases by infection date,Likely increasing
Ituiutaba,189,27,381,103,227,172,216,New confirmed cases by infection date,Increasing
Uberaba,181,0,866,39,189,41,78,New confirmed cases by infection date,Increasing
Nova Crixás,173,0,1366,0,173,0,39,New confirmed cases by infection date,Increasing
Boa Vista,164,76,282,126,193,146,169,New confirmed cases by infection date,Likely decreasing
Ribeirão Preto,162,71,271,119,185,145,167,New confirmed cases by infection date,Unsure
São José do Rio Preto,160,51,319,98,186,119,152,New confirmed cases by infection date,Unsure
Cassilândia,159,0,1059,0,159,17,33,New confirmed cases by infection date,Increasing
Itumbiara,157,0,8734,0,158,0,20,New confirmed cases by infection date,Unsure
Guaíba,146,17,316,74,167,112,144,New confirmed cases by infection date,Increasing
Monsenhor Tabosa,144,0,6547,0,144,0,37,New confirmed cases by infection date,Increasing
Santarém,143,0,362,42,174,73,121,New confirmed cases by infection date,Unsure
Araguaína,140,0,319,65,170,85,122,New confirmed cases by infection date,Unsure
Canoas,140,0,544,23,157,55,98,New confirmed cases by infection date,Unsure
Bauru,139,76,209,111,157,130,146,New confirmed cases by infection date,Unsure
Florianópolis,136,1,402,44,160,72,111,New confirmed cases by infection date,Unsure
Patrocínio,135,0,11350,0,135,0,13,New confirmed cases by infection date,Unsure
Vitória da Conquista,125,25,279,72,139,93,116,New confirmed cases by infection date,Likely increasing
Viamão,123,20,310,44,136,59,93,New confirmed cases by infection date,Increasing
Piracicaba,122,0,596,0,122,0,42,New confirmed cases by infection date,Unsure
Teixeira de Freitas,121,1,344,11,130,38,81,New confirmed cases by infection date,Likely increasing
Caxias do Sul,116,34,207,83,140,110,130,New confirmed cases by infection date,Likely increasing
Passagem Franca,115,0,7365,0,115,0,18,New confirmed cases by infection date,Increasing
Ponta Grossa,110,32,217,76,130,90,109,New confirmed cases by infection date,Increasing
Recife,109,5,263,34,122,59,92,New confirmed cases by infection date,Unsure
Maceió,105,4,261,39,126,47,78,New confirmed cases by infection date,Unsure
Foz do Iguaçu,104,26,212,59,124,73,95,New confirmed cases by infection date,Likely increasing
Limeira,103,11,235,56,121,74,96,New confirmed cases by infection date,Unsure
São José,98,0,416,12,107,40,73,New confirmed cases by infection date,Unsure
Capivari,97,0,206,43,120,66,92,New confirmed cases by infection date,Increasing
Montes Claros,97,0,420,55,115,74,93,New confirmed cases by infection date,Unsure
João Pessoa,95,0,261,14,105,51,83,New confirmed cases by infection date,Unsure
Nerópolis,95,0,261,31,111,59,87,New confirmed cases by infection date,Increasing
Mauá,94,50,142,75,105,89,100,New confirmed cases by infection date,Likely increasing
Pelotas,94,5,312,34,103,54,77,New confirmed cases by infection date,Likely increasing
Crateús,93,49,143,73,105,90,101,New confirmed cases by infection date,Increasing
Vila Velha,92,14,189,52,109,80,100,New confirmed cases by infection date,Unsure
Imperatriz,90,0,1062,0,90,7,31,New confirmed cases by infection date,Unsure
São Bernardo do Campo,90,0,320,4,93,6,36,New confirmed cases by infection date,Likely decreasing
Maringá,89,37,157,62,101,77,92,New confirmed cases by infection date,Unsure
Goianésia,86,33,141,65,101,75,88,New confirmed cases by infection date,Increasing
Porto Velho,86,49,139,67,97,75,85,New confirmed cases by infection date,Decreasing
Santa Maria,86,10,356,21,91,60,85,New confirmed cases by infection date,Increasing
Rio Verde,84,31,152,64,105,70,84,New confirmed cases by infection date,Unsure
São Luís,84,29,153,56,97,74,89,New confirmed cases by infection date,Unsure
Caçador,83,0,208,29,92,45,67,New confirmed cases by infection date,Increasing
Franca,81,11,162,50,103,65,84,New confirmed cases by infection date,Unsure
Magé,81,0,168,40,98,54,75,New confirmed cases by infection date,Likely increasing
Itabuna,80,38,135,56,92,68,81,New confirmed cases by infection date,Likely decreasing
Luziânia,80,21,150,49,91,69,83,New confirmed cases by infection date,Unsure
Campos dos Goytacazes,79,21,151,48,93,57,74,New confirmed cases by infection date,Likely increasing
Fortaleza,79,8,121,63,96,67,79,New confirmed cases by infection date,Likely decreasing
Sítio Novo,78,0,158,41,96,59,79,New confirmed cases by infection date,Likely increasing
Marabá,76,0,209,23,88,36,59,New confirmed cases by infection date,Unsure
Ibirubá,74,0,2189650,12,83,30,51,New confirmed cases by infection date,Increasing
Itajaí,74,7,165,41,88,51,67,New confirmed cases by infection date,Unsure
Betim,72,0,198,30,82,47,65,New confirmed cases by infection date,Unsure
Taubaté,72,17,180,43,82,50,63,New confirmed cases by infection date,Likely increasing
Teresópolis,72,1,217,38,90,43,59,New confirmed cases by infection date,Unsure
Chapecó,71,25,122,49,82,60,71,New confirmed cases by infection date,Unsure
Gravataí,71,16,131,48,85,61,74,New confirmed cases by infection date,Likely increasing
Bom Jesus de Goiás,70,0,165,33,82,40,59,New confirmed cases by infection date,Increasing
Guarujá,70,29,119,54,82,59,69,New confirmed cases by infection date,Unsure
Nova Serrana,70,0,2405,0,70,3,17,New confirmed cases by infection date,Likely increasing
Andradina,68,1,626,10,73,16,36,New confirmed cases by infection date,Increasing
Rio Grande,67,1,176,30,78,46,62,New confirmed cases by infection date,Unsure
Dourados,66,27,107,50,77,59,69,New confirmed cases by infection date,Likely increasing
Cidade Ocidental,65,0,1568,0,65,0,10,New confirmed cases by infection date,Unsure
Lauro de Freitas,65,0,978,0,66,0,17,New confirmed cases by infection date,Unsure
Porangatu,65,0,3398370,0,65,15,32,New confirmed cases by infection date,Increasing
Santana,64,0,316,46,71,56,64,New confirmed cases by infection date,Likely increasing
Corumbá,63,25,112,44,75,51,62,New confirmed cases by infection date,Unsure
Guarulhos,63,18,102,47,72,55,64,New confirmed cases by infection date,Decreasing
Santo André,63,39,94,50,70,55,62,New confirmed cases by infection date,Decreasing
Criciúma,62,16,126,37,74,54,68,New confirmed cases by infection date,Unsure
Duque de Caxias,60,5,131,34,75,36,51,New confirmed cases by infection date,Unsure
Novo Hamburgo,60,21,107,41,70,54,64,New confirmed cases by infection date,Unsure
Blumenau,59,2,129,31,74,40,54,New confirmed cases by infection date,Likely decreasing
Oriximiná,59,0,342,9,65,17,35,New confirmed cases by infection date,Likely increasing
Passo Fundo,59,0,313,0,59,4,23,New confirmed cases by infection date,Unsure
Redenção,59,0,2295,0,59,0,7,New confirmed cases by infection date,Unsure
Serra,59,21,119,38,71,47,59,New confirmed cases by infection date,Likely decreasing
Jundiaí,58,7,105,37,74,51,63,New confirmed cases by infection date,Likely decreasing
Mossoró,58,0,3481,0,58,0,4,New confirmed cases by infection date,Unsure
Parintins,58,39,80,50,65,53,58,New confirmed cases by infection date,Increasing
Jataí,57,0,280,5,61,10,29,New confirmed cases by infection date,Unsure
Tarauacá,57,0,410,6,61,12,29,New confirmed cases by infection date,Likely increasing
Macaé,56,2,130,25,64,40,54,New confirmed cases by infection date,Unsure
Maurilândia,56,12,121,26,62,30,43,New confirmed cases by infection date,Increasing
Esteio,55,14,97,37,66,39,49,New confirmed cases by infection date,Likely increasing
Osório,55,0,2183,0,55,5,16,New confirmed cases by infection date,Unsure
Salgueiro,55,0,341,4,57,7,22,New confirmed cases by infection date,Likely increasing
Valparaíso de Goiás,55,1,142,26,68,28,43,New confirmed cases by infection date,Unsure
Araraquara,54,34,78,44,59,49,54,New confirmed cases by infection date,Unsure
Barreiras,54,0,280,0,54,3,22,New confirmed cases by infection date,Unsure
Ipueiras,54,9,103,37,67,44,55,New confirmed cases by infection date,Increasing
Vitória,53,18,100,34,62,42,52,New confirmed cases by infection date,Likely decreasing
Barra Mansa,52,0,195,21,62,28,41,New confirmed cases by infection date,Unsure
Capão do Leão,52,0,133,19,60,28,42,New confirmed cases by infection date,Increasing
Marechal Cândido Rondon,52,0,637,2,53,6,20,New confirmed cases by infection date,Increasing
Três Lagoas,52,22,88,39,62,46,54,New confirmed cases by infection date,Increasing
Feira de Santana,51,20,91,37,59,41,49,New confirmed cases by infection date,Likely decreasing
