region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
São Paulo,975953,0,792800000,0,976905,0,7299,New confirmed cases by infection date,Unsure
Aparecida de Goiânia,17965,0,6086060,0,18057,0,748,New confirmed cases by infection date,Likely increasing
Joinville,1352,0,58956,0,1356,0,146,New confirmed cases by infection date,Unsure
Porto Alegre,1331,556,2330,925,1543,1090,1293,New confirmed cases by infection date,Increasing
São José,1138,0,74177,0,1138,0,94,New confirmed cases by infection date,Unsure
Jaboatão dos Guararapes,817,0,410800,0,820,0,39,New confirmed cases by infection date,Unsure
Guaraí,803,0,173134,0,804,0,21,New confirmed cases by infection date,Unsure
Brasília,766,603,983,703,830,758,802,New confirmed cases by infection date,Decreasing
Goiânia,699,369,1103,584,831,598,683,New confirmed cases by infection date,Likely increasing
Rio de Janeiro,539,0,4519,299,620,335,433,New confirmed cases by infection date,Likely increasing
Uberlândia,524,0,1203,249,623,365,497,New confirmed cases by infection date,Increasing
Santarém,523,0,21641,0,526,0,73,New confirmed cases by infection date,Likely increasing
Teresina,470,0,2831,32,487,166,310,New confirmed cases by infection date,Unsure
Anápolis,450,4,3363,45,475,87,214,New confirmed cases by infection date,Likely increasing
Salvador,418,183,749,316,499,361,425,New confirmed cases by infection date,Likely decreasing
Parauapebas,339,0,1524,86,361,139,232,New confirmed cases by infection date,Likely increasing
Porangatu,304,0,3896,0,305,0,66,New confirmed cases by infection date,Increasing
Manaus,296,0,891,106,346,172,257,New confirmed cases by infection date,Unsure
Niterói,282,0,922,73,324,107,193,New confirmed cases by infection date,Likely increasing
Belford Roxo,264,0,1641,0,264,65,150,New confirmed cases by infection date,Likely increasing
Ituiutaba,258,3,596,118,315,191,260,New confirmed cases by infection date,Increasing
Campo Grande,254,84,482,158,286,199,247,New confirmed cases by infection date,Unsure
Curitiba,250,98,468,174,287,210,250,New confirmed cases by infection date,Likely decreasing
Fazenda Rio Grande,250,0,102392,0,250,0,23,New confirmed cases by infection date,Unsure
