region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
Cuiabá,30796 (15333 -- 69607),30796,35818,21446,15333,22960,27763,34522,42532,69607,New confirmed cases by infection date,Unsure
São Paulo,26637 (23640 -- 29444),26637,26556,1843,23640,25759,26391,26780,27228,29444,New confirmed cases by infection date,Unsure
Vila Velha,22273 (10646 -- 67701),22273,29491,22629,10646,15374,19060,26568,35946,67701,New confirmed cases by infection date,Unsure
Vitória,14103 (10534 -- 21016),14103,14736,3553,10534,13086,13801,14396,15448,21016,New confirmed cases by infection date,Unsure
Serra,12995 (8243 -- 28171),12995,15111,8269,8243,11482,12565,13679,15724,28171,New confirmed cases by infection date,Unsure
Rio de Janeiro,11310 (10338 -- 12556),11310,11351,718,10338,11063,11247,11371,11573,12556,New confirmed cases by infection date,Unsure
Rondonópolis,11037 (5825 -- 21717),11037,12052,5252,5825,8527,10063,12150,14256,21717,New confirmed cases by infection date,Unsure
Fortaleza,10324 (9418 -- 11416),10324,10363,671,9418,10116,10274,10388,10570,11416,New confirmed cases by infection date,Unsure
Várzea Grande,8310 (4248 -- 17115),8310,9285,4407,4248,6383,7526,9306,11056,17115,New confirmed cases by infection date,Unsure
Cariacica,7981 (5579 -- 12637),7981,8396,2422,5579,7218,7764,8230,8965,12637,New confirmed cases by infection date,Unsure
Sinop,7063 (3551 -- 14403),7063,7823,3885,3551,5332,6304,7909,9421,14403,New confirmed cases by infection date,Unsure
Brasília,5387 (4694 -- 6239),5387,5424,482,4694,5134,5302,5494,5676,6239,New confirmed cases by infection date,Unsure
Florianópolis,4969 (4374 -- 5639),4969,4984,405,4374,4826,4933,4999,5106,5639,New confirmed cases by infection date,Unsure
Tangará da Serra,4583 (2224 -- 9105),4583,4973,2241,2224,3433,4109,5123,6006,9105,New confirmed cases by infection date,Unsure
Porto Alegre,4512 (4018 -- 5094),4512,4532,362,4018,4394,4482,4547,4647,5094,New confirmed cases by infection date,Unsure
Cachoeiro de Itapemirim,4144 (2917 -- 5983),4144,4250,1062,2917,3721,4004,4224,4535,5983,New confirmed cases by infection date,Unsure
Campo Grande,4022 (3489 -- 4786),4022,4079,410,3489,3858,3973,4089,4259,4786,New confirmed cases by infection date,Unsure
Belo Horizonte,3920 (3651 -- 4288),3920,3940,214,3651,3857,3904,3938,4003,4288,New confirmed cases by infection date,Unsure
Primavera do Leste,3914 (2035 -- 8242),3914,4326,2021,2035,2942,3468,4334,5148,8242,New confirmed cases by infection date,Unsure
Colatina,3302 (2069 -- 6290),3302,3635,1506,2069,2798,3150,3492,4023,6290,New confirmed cases by infection date,Unsure
João Pessoa,3130 (2923 -- 3419),3130,3146,160,2923,3081,3118,3147,3199,3419,New confirmed cases by infection date,Unsure
Goiânia,3110 (2788 -- 3432),3110,3115,198,2788,3042,3095,3130,3185,3432,New confirmed cases by infection date,Unsure
Guarulhos,3096 (2745 -- 3423),3096,3090,211,2745,3014,3079,3112,3159,3423,New confirmed cases by infection date,Unsure
Blumenau,3052 (2730 -- 3480),3052,3077,234,2730,2986,3036,3074,3150,3480,New confirmed cases by infection date,Unsure
Santo André,2987 (2698 -- 3251),2987,2986,170,2698,2926,2970,3000,3046,3251,New confirmed cases by infection date,Unsure
Salvador,2931 (2717 -- 3196),2931,2941,152,2717,2879,2915,2948,2997,3196,New confirmed cases by infection date,Unsure
